               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.099638,             0.18784,                   0,             0.17466,             0.20847,            0.082726,            0.022885,            0.099469,             0.16481,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.098901,             0.18546,                   0,             0.20942,             0.23018,             0.10989,            0.030934,            0.099443,             0.16502,                   0,            0.006238,            0.006238,            0.006238
                  40,              0.1002,             0.18445,                   0,             0.20942,             0.23018,             0.10989,            0.030934,            0.099443,             0.16502,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.099029,             0.20109,                   0,             0.20511,             0.23779,             0.10126,            0.027828,             0.10157,             0.16764,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.10147,             0.22838,                   0,             0.20511,             0.23779,             0.10126,            0.027828,             0.10157,             0.16764,                   0,            0.005941,            0.005941,            0.005941
                  43,              0.1029,             0.19215,                   0,             0.20511,             0.23779,             0.10126,            0.027828,             0.10157,             0.16764,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.10247,              0.2084,                   0,             0.19373,              0.2595,             0.10734,            0.031323,              0.1008,             0.16785,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.099518,             0.18912,                   0,             0.19373,              0.2595,             0.10734,            0.031323,              0.1008,             0.16785,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.10071,             0.19797,                   0,             0.23008,             0.27362,             0.15869,            0.047563,            0.095416,             0.16806,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.097918,               0.196,                   0,             0.23008,             0.27362,             0.15869,            0.047563,            0.095416,             0.16806,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.094908,             0.20457,                   0,             0.24707,             0.27362,             0.15895,            0.050279,            0.094202,             0.17105,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.094027,             0.19074,                   0,             0.24707,             0.27362,             0.15895,            0.050279,            0.094202,             0.17105,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.094755,             0.22909,                   0,             0.24707,             0.27362,             0.15895,            0.050279,            0.094202,             0.17105,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.096791,             0.19478,                   0,             0.25985,             0.27036,             0.15582,             0.04855,            0.095918,             0.17024,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.096071,             0.22781,                   0,             0.25985,             0.27036,             0.15582,             0.04855,            0.095918,             0.17024,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.092038,             0.18569,                   0,             0.29843,             0.28122,             0.18322,            0.058561,            0.090008,             0.17272,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.093366,             0.21445,                   0,             0.29843,             0.28122,             0.18322,            0.058561,            0.090008,             0.17272,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.091971,             0.21947,                   0,             0.31936,              0.2899,             0.20766,            0.065265,            0.087451,             0.17449,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.090961,             0.23035,                   0,             0.31936,              0.2899,             0.20766,            0.065265,            0.087451,             0.17449,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.08827,             0.19592,                   0,               0.276,             0.29925,             0.17651,             0.05388,            0.087088,             0.17398,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.089143,             0.20651,                   0,               0.276,             0.29925,             0.17651,             0.05388,            0.087088,             0.17398,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.090324,              0.2246,                   0,               0.276,             0.29925,             0.17651,             0.05388,            0.087088,             0.17398,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.08761,             0.24442,                   0,             0.28235,              0.2975,             0.18012,            0.057535,             0.08533,             0.17398,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.08781,             0.22458,                   0,             0.28235,              0.2975,             0.18012,            0.057535,             0.08533,             0.17398,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.087608,             0.21082,                   0,             0.33994,             0.30619,              0.2118,            0.069475,            0.084163,             0.17457,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.087136,             0.21939,                   0,             0.33994,             0.30619,              0.2118,            0.069475,            0.084163,             0.17457,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.087265,             0.20746,                   0,             0.36181,             0.30836,             0.22516,            0.072523,            0.083515,             0.17448,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.08666,             0.23465,                   0,             0.36181,             0.30836,             0.22516,            0.072523,            0.083515,             0.17448,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.083746,             0.23122,                   0,             0.36181,             0.30836,             0.22516,            0.072523,            0.083515,             0.17448,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.08588,             0.17628,                   0,             0.35709,             0.31488,             0.22731,            0.077812,            0.084409,             0.17261,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.086867,             0.19337,                   0,             0.35709,             0.31488,             0.22731,            0.077812,            0.084409,             0.17261,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.087053,             0.18907,                   0,              0.3959,             0.31379,             0.24773,            0.084643,            0.082165,             0.17533,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.084454,             0.21564,                   0,              0.3959,             0.31379,             0.24773,            0.084643,            0.082165,             0.17533,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.081143,             0.19793,                   0,             0.38212,             0.31379,             0.22776,            0.078046,            0.082413,             0.17439,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.085314,             0.20763,                   0,             0.38212,             0.31379,             0.22776,            0.078046,            0.082413,             0.17439,                   0,            0.002971,            0.002971,            0.002971
